x1,x2,x3,x4,x5,x6,y,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,,
id38054,8.0.0,samsung_SM-G930R4,US,1,1981,0,37,0,1,0,0.08045977011,0.2413793103,0,87,samsung,0,8,0,0,1,1,0,TRUE,komistplay-i27ca6ba3e32c55c,Bidalgo - Facebook,Bidalgo Facebook,,
id41591,8.0.0,samsung_SM-G950U,US,0,2001,0,17,0,9,2,0.004504504505,0.2747747748,0,222,samsung,0,8,0,0,0,1,0,TRUE,NA,NA,NA,,
id42021,8.1.0,samsung_SM-J727T1,US,0,2003,0,15,0,0,0,0,0.03225806452,0,31,samsung,0,8,0,0,0,1,0,TRUE,586206336715673895,Facebook,Copy Tests,,
id6233,7.1.1,samsung_SM-N950F,SG,1,2000,0,18,0,3,0,0,0.3111111111,0,90,samsung,0,7,0,0,1,0,0,TRUE,595945040279866986,43AHkuZgO,NA,,
id62609,8.1.0,LGE_LM-Q710(FGN),US,1,1972,0,46,0,0,0,0.08333333333,0.01666666667,0,60,LGE,0,8,0,0,1,1,0,FALSE,komistplay-i27ca6ba3e32c55c,Bidalgo - Facebook,Bidalgo Facebook,,
id4042,8.0.0,samsung_SM-G960U,US,1,1994,0,24,0,2,0,0.05479452055,0.06849315068,0,73,samsung,0,8,0,0,1,1,0,TRUE,611743194392606438,zf1r_yUqm,NA,,
id5473,6,LGE_VS985 4G,US,1,1979,0,39,0,5,2,0.03225806452,0.3387096774,0,62,LGE,0,6,0,0,1,0,0,FALSE,komistplay-i27ca6ba3e32c55c,Bidalgo - Facebook,Bidalgo Facebook,,
id27682,6,Acer_B1-780,CA,0,2004,0,14,0,4,2,0.03571428571,0.1607142857,0,56,Acer,0,6,0,0,0,0,0,FALSE,NA,NA,NA,,
id120459,8.1.0,samsung_SM-J727P,US,0,1987,0,31,0,2,2,0.01960784314,0.07843137255,0,51,samsung,0,8,0,0,0,1,0,TRUE,komistplay-i27bfe4daaba1aa4,Facebook,Facebook,,
id32034,6.0.1,samsung_SM-G900I,AU,0,2005,0,13,0,3,0,0,0.25,0,60,samsung,0,6,0,0,0,0,0,FALSE,NA,NA,NA,,
id81966,8.1.0,samsung_SM-J530F,GB,0,2003,0,15,0,0,0,0.05,0.025,0,40,samsung,0,8,0,0,0,1,0,FALSE,komistplay-i277fc4c38ac926c,Bidalgo - Instagram,Default Facebook,,
id19991,8.0.0,samsung_SM-G950F,AU,0,1997,0,21,0,0,1,0.01515151515,0.04545454545,0,66,samsung,0,8,0,0,0,1,0,TRUE,komistplay-i27ca6ba3e32c55c,Bidalgo - Facebook,Bidalgo Facebook,,
id55122,6.0.1,samsung_SM-J120W,CA,2,1990,0,28,0,1,0,0,0.1818181818,1,22,samsung,0,6,1,0,0,0,0,FALSE,komistplay-i27ca6ba3e32c55c,Bidalgo - Facebook,Bidalgo Facebook,,
id126616,8.0.0,samsung_SM-A750FN,GB,0,1994,0,24,0,4,1,0.025,0.175,0,80,samsung,0,8,0,0,0,1,0,FALSE,komistplay-i27ca6ba3e32c55c,Bidalgo - Facebook,Bidalgo Facebook,,
id114157,5.1.1,samsung_SM-G360T1,US,0,2004,0,14,0,2,0,0,0.1818181818,0,33,samsung,0,5,0,0,0,0,0,FALSE,573880939902959083,Facebook,Fortnite,,
id68144,6.0.1,LGE_LG-M151,CA,1,1980,0,38,0,1,0,0,0.2666666667,0,15,LGE,0,6,0,0,1,0,0,FALSE,589110975354260228,Facebook,Discover New Games,,
id7712,8.0.0,LGE_LG-H990,FR,0,1984,0,34,0,3,2,0.1123595506,0.1460674157,0,89,LGE,0,8,0,0,0,1,1,TRUE,komistplay-i27ca6ba3e32c55c,Bidalgo - Facebook,Bidalgo Facebook,,
id44866,6.0.1,samsung_SM-S727VL,US,1,1984,0,34,0,1,0,0.07692307692,0.1025641026,0,39,samsung,0,6,0,0,1,0,0,TRUE,komistplay-i273dcf86faab892,Facebook,Campaign 2018-10-05 12:10:35:839,,
id114398,5.1.1,samsung_SM-T670,US,1,1956,0,62,0,4,1,0.02083333333,0.2291666667,0,48,samsung,0,5,0,0,1,0,0,FALSE,komistplay-i2746e44f7d78028,AppLovin - Android,Applovin_EN,,
id37966,8.0.0,samsung_SM-J737V,US,1,1977,0,41,0,7,1,0.09782608696,0.2065217391,0,92,samsung,0,8,0,0,1,1,0,FALSE,568854315415129371,Facebook,Amazon,,
id114433,8.0.0,samsung_SM-G950W,CA,0,1999,0,19,0,3,0,0.02380952381,0.2738095238,0,84,samsung,0,8,0,0,0,1,0,TRUE,NA,NA,NA,,
id3780,8.0.0,HUAWEI_WAS-LX1A,GB,1,1961,0,57,0,3,0,0.01369863014,0.1232876712,0,73,HUAWEI,0,8,0,0,1,1,0,FALSE,576422175842834761,Facebook,Yahtzee,,
id9620,8.0.0,samsung_SM-J737A,US,0,1966,0,52,0,0,1,0.109375,0.078125,0,64,samsung,0,8,0,0,0,1,0,FALSE,komistplay-i27ca6ba3e32c55c,Bidalgo - Facebook,Bidalgo Facebook,,
id142039,8.0.0,LGE_LGUS997,US,0,1973,0,45,0,0,0,0.04761904762,0.2063492063,0,63,LGE,0,8,0,0,0,1,0,TRUE,komistplay-i27ca6ba3e32c55c,Bidalgo - Facebook,Bidalgo Facebook,,
id117710,8.1.0,Logicom_Le Hop,FR,0,1980,0,38,0,2,1,0.03278688525,0.08196721311,0,61,Logicom,1,8,0,0,0,1,1,FALSE,NA,NA,NA,,
id122777,6.0.1,ZTE_Z718TL,US,1,2005,0,13,0,0,0,0,0.03333333333,0,30,ZTE,0,6,0,0,1,0,0,FALSE,komistplay-i277fc4c38ac926c,Bidalgo - Instagram,Default Facebook,,
id12888,9,Google_Pixel,GB,1,1971,0,47,0,8,0,0.06481481481,0.462962963,0,108,Google,0,9,0,0,1,1,0,TRUE,komistplay-i27ca6ba3e32c55c,Bidalgo - Facebook,Bidalgo Facebook,,
id16402,8.0.0,samsung_SM-A520W,CA,2,2000,0,18,0,3,1,0,0.2820512821,0,78,samsung,0,8,0,0,0,1,0,TRUE,282202902410497492,YouTube,Mistplay Android/iOS,,
id14950,7.1.1,motorola_Moto E (4),US,0,2000,0,18,0,5,0,0.01886792453,0.3018867925,0,53,motorola,0,7,0,0,0,0,0,FALSE,512399732703117729,Facebook,Play Games. Earn Money.,,
id44216,8.0.0,samsung_SM-A520F,FI,0,1996,0,22,0,1,0,0,0.1313868613,0,137,samsung,0,8,0,0,0,1,0,TRUE,578274137794105583,Facebook,Play Games Earn Money,,
id111339,8.1.0,samsung_SM-J260Y,NZ,0,1987,0,31,0,1,0,0,0.06666666667,0,15,samsung,0,8,0,0,0,1,0,FALSE,komistplay-i27ca6ba3e32c55c,Bidalgo - Facebook,Bidalgo Facebook,,
id135407,8.1.0,LGE_LM-X410(FG),US,1,1987,0,31,0,1,0,0,0.06666666667,0,30,LGE,0,8,0,0,1,1,0,FALSE,komistplay-i272fc84fda669f3,Fyber - Android,Fyber,,
id100191,6,TCL_A466BG,US,0,1981,0,37,0,2,0,0,0.09090909091,0,44,TCL,0,6,0,0,0,0,0,FALSE,492787488847698857,Facebook,NA,,
id107053,6.0.1,samsung_SM-A500F,NZ,0,1993,0,25,0,0,0,0,0.07894736842,0,38,samsung,0,6,0,0,0,0,0,FALSE,574253038517356133,Facebook,Play Games. Earn Money.,,
id68027,8.1.0,LGE_LG-M703,CA,0,1979,0,39,0,3,0,0.008547008547,0.5128205128,0,117,LGE,0,8,0,0,0,1,0,FALSE,573880939902959083,Facebook,Fortnite,,
id21240,7,Sony_F3211,GB,0,1993,0,25,0,1,0,0,0.1142857143,0,35,Sony,0,7,0,0,0,0,0,FALSE,komistplay-i27bfe4daaba1aa4,Facebook,Facebook,,
id13424,5.1,HUAWEI_HUAWEI RIO-L02,AU,1,2000,0,18,0,6,0,0,0.3134328358,0,67,HUAWEI,0,5,0,0,1,0,0,FALSE,589108860846240468,Facebook,Discover New Games,,
id99538,7.1.1,Yulong_REVVLPLUS C3701A,US,1,1990,0,28,0,2,2,0.01818181818,0.1818181818,0,55,Yulong,0,7,0,0,1,0,0,TRUE,NA,NA,NA,,
id33306,8.1.0,samsung_SM-A500FU,DE,0,1990,0,28,0,2,0,0.05555555556,0.07407407407,1,54,samsung,0,8,1,0,0,1,0,FALSE,komistplay-i27ca6ba3e32c55c,Bidalgo - Facebook,Bidalgo Facebook,,
id114485,7.1.1,Yulong_REVVLPLUS C3701A,US,1,1984,0,34,0,1,0,0.01538461538,0.1692307692,0,65,Yulong,0,7,0,0,1,0,0,TRUE,komistplay-i27ca6ba3e32c55c,Bidalgo - Facebook,Bidalgo Facebook,,
id19152,8.0.0,samsung_SM-G960F,NZ,1,1991,0,27,0,1,0,0.06666666667,0.08333333333,0,60,samsung,0,8,0,0,1,1,0,TRUE,komistplay-i27bfe4daaba1aa4,Facebook,Facebook,,
id15935,9,samsung_SM-G960U,US,0,2002,0,16,0,2,0,0,0.1470588235,0,68,samsung,0,9,0,0,0,1,0,TRUE,komistplay-i27ca6ba3e32c55c,Bidalgo - Facebook,Bidalgo Facebook,,
id116761,8.1.0,LGE_LG-Q710AL,US,1,1974,0,44,0,2,1,0.01960784314,0.3333333333,0,51,LGE,0,8,0,0,1,1,0,FALSE,komistplay-i27ca6ba3e32c55c,Bidalgo - Facebook,Bidalgo Facebook,,
id39165,8.0.0,samsung_SM-J737P,US,1,1988,0,30,0,2,2,0.03448275862,0.1954022989,0,87,samsung,0,8,0,0,1,1,0,TRUE,komistplay-i27ca6ba3e32c55c,Bidalgo - Facebook,Bidalgo Facebook,,
id44702,8.0.0,samsung_SM-G960U,US,1,1994,0,24,0,8,1,0.0101010101,0.2121212121,0,99,samsung,0,8,0,0,1,1,0,TRUE,komistplay-i277fc4c38ac926c,Bidalgo - Instagram,Default Facebook,,
id83185,6.0.1,samsung_SM-S327VL,US,0,1996,0,22,0,2,0,0,0.15625,0,32,samsung,0,6,0,0,0,0,0,TRUE,komistplay-i27ca6ba3e32c55c,Bidalgo - Facebook,Bidalgo Facebook,,
id10886,7.1.1,samsung_SM-A530F,SE,0,2005,0,13,0,1,0,0,0.1884057971,0,69,samsung,0,7,0,0,0,0,0,TRUE,578273416764105287,Facebook,Gamer Giftcards,,
id72920,8.0.0,samsung_SM-G950F,FI,0,1990,0,28,0,3,0,0.02469135802,0.07407407407,0,81,samsung,0,8,0,0,0,1,0,TRUE,komistplay-i277fc4c38ac926c,Bidalgo - Instagram,Default Facebook,,
id1852,7.1.1,samsung_SM-P550,CA,0,1993,0,25,0,1,1,0.02941176471,0.02941176471,0,68,samsung,0,7,0,0,0,0,0,TRUE,NA,NA,NA,,
id105676,8.0.0,samsung_SM-T820,US,0,1991,0,27,0,3,1,0,0.5595238095,0,84,samsung,0,8,0,0,0,1,0,TRUE,489173088290878094,Facebook,Lookalike,,
id84140,8.0.0,HUAWEI_PRA-LX1,DE,0,1999,0,19,0,0,0,0.04166666667,0.125,0,24,HUAWEI,0,8,0,0,0,1,0,FALSE,komistplay-i27ca6ba3e32c55c,Bidalgo - Facebook,Bidalgo Facebook,,
id83534,7,LGE_LGMS550,US,0,1995,9.99,23,0,3,1,0,0.1578947368,0,38,LGE,0,7,0,0,0,0,0,TRUE,576465400783883159,Facebook,Gamer Giftcards,,
id26556,8.1.0,LGE_LM-X410(FG),US,1,1996,0,22,0,1,0,0,0.1515151515,0,33,LGE,0,8,0,0,1,1,0,FALSE,282202902410497492,YouTube,Mistplay Android/iOS,,
id105856,7,samsung_SAMSUNG-SM-G890A,US,1,1993,0,25,0,3,1,0.0253164557,0.164556962,0,79,samsung,0,7,0,0,1,0,0,TRUE,komistplay-i27ca6ba3e32c55c,Bidalgo - Facebook,Bidalgo Facebook,,
id72721,7.1.2,ZTE_ZTE BLADE A0605,AU,0,1999,0,19,0,4,1,0.02666666667,0.1866666667,0,75,ZTE,0,7,0,0,0,0,0,FALSE,573880939902959083,Facebook,Fortnite,,
id47779,8.0.0,HUAWEI_FIG-LX1,DK,0,1999,0,19,0,2,1,0.03448275862,0.1206896552,0,58,HUAWEI,0,8,0,0,0,1,0,FALSE,komistplay-i27bfe4daaba1aa4,Facebook,Facebook,,
id40594,8.1.0,OPPO_CPH1871,SG,0,1986,0,32,0,4,1,0.01075268817,0.06989247312,0,186,OPPO,0,8,0,0,0,1,0,FALSE,NA,NA,NA,,
id101827,7.1.1,motorola_XT1609,US,0,1990,0,28,0,1,0,0,0.1891891892,0,74,motorola,0,7,0,0,0,0,0,FALSE,komistplay-i27ca6ba3e32c55c,Bidalgo - Facebook,Bidalgo Facebook,,
id127350,9,HUAWEI_EML-L09,DE,1,2000,0,18,0,6,1,0.02272727273,0.4090909091,0,132,HUAWEI,0,9,0,0,1,1,0,TRUE,komistplay-i277fc4c38ac926c,Bidalgo - Instagram,Default Facebook,,
id35744,7.1.1,ZTE_Z3001S,US,0,1980,0,38,0,3,1,0.01369863014,0.1506849315,0,73,ZTE,0,7,0,0,0,0,0,FALSE,komistplay-i27ca6ba3e32c55c,Bidalgo - Facebook,Bidalgo Facebook,,
id115952,7.1.1,samsung_SM-C710F,SG,0,1990,0,28,0,2,0,0.01960784314,0.1960784314,0,51,samsung,0,7,0,0,0,0,0,FALSE,574249797825982883,Facebook,Gamer GIftcards,,
id122830,8.0.0,samsung_SM-G965F,SE,0,1998,0,20,0,0,0,0.01020408163,0.05102040816,0,98,samsung,0,8,0,0,0,1,0,TRUE,komistplay-i277fc4c38ac926c,Bidalgo - Instagram,Default Facebook,,
id501,7.1.1,samsung_SM-J700P,US,1,1986,0,32,0,1,2,0.04444444444,0.08888888889,0,45,samsung,0,7,0,0,1,0,0,FALSE,komistplay-i278aa7320f12d13,Fluent,LLC,Fluent,
id104103,8.1.0,samsung_SM-N960U,US,1,1967,0,51,0,17,4,0.1118881119,0.2412587413,0,286,samsung,0,8,0,0,1,1,0,TRUE,komistplay-i27ca6ba3e32c55c,Bidalgo - Facebook,Bidalgo Facebook,,
id28900,7,HUAWEI_EVA-L09,NZ,0,1984,0,34,0,6,1,0.02666666667,0.3066666667,0,75,HUAWEI,0,7,0,0,0,0,0,TRUE,komistplay-i27bfe4daaba1aa4,Facebook,Facebook,,
id3432,8.0.0,samsung_SM-J737P,US,1,1995,0,23,0,4,3,0.01149425287,0.3563218391,0,87,samsung,0,8,0,0,1,1,0,TRUE,568853918193827296,Facebook,Amazon,,
id34949,9,samsung_SM-N960U,US,0,1993,0,25,0,7,3,0.01092896175,0.1912568306,0,183,samsung,0,9,0,0,0,1,0,TRUE,komistplay-i278aa7320f12d13,Fluent,LLC,Fluent,
id54822,8.1.0,samsung_SM-N960U,US,0,2003,0,15,0,4,0,0,0.1232876712,0,73,samsung,0,8,0,0,0,1,0,TRUE,586205984360772448,Facebook,Copy Tests,,
id7084,8.1.0,samsung_SM-N960U,US,0,1986,0,32,0,26,0,0,0.4755244755,0,286,samsung,0,8,0,0,0,1,0,TRUE,478985805982170189,Facebook,Play Games. Earn Money.,,
id16543,8.1.0,LGE_LM-X210(G),US,0,1994,0,24,0,0,0,0,0.04166666667,0,24,LGE,0,8,0,0,0,1,0,FALSE,NA,NA,NA,,
id140499,6.0.1,LGE_LGL58VL,US,1,1985,0,33,0,1,0,0,0.07142857143,0,14,LGE,0,6,0,0,1,0,0,TRUE,komistplay-i27ca6ba3e32c55c,Bidalgo - Facebook,Bidalgo Facebook,,
id79383,7.1.1,ZTE_Z899VL,US,0,1972,0,46,0,0,0,0,0.02040816327,0,49,ZTE,0,7,0,0,0,0,0,TRUE,komistplay-i27ca6ba3e32c55c,Bidalgo - Facebook,Bidalgo Facebook,,
id135319,7,LGE_LG-M430,US,0,1990,0,28,0,12,2,0.03947368421,0.3947368421,0,76,LGE,0,7,0,0,0,0,0,TRUE,komistplay-i27ca6ba3e32c55c,Bidalgo - Facebook,Bidalgo Facebook,,
id134681,8.1.0,Google_Pixel 2 XL,US,0,1994,0,24,0,3,2,0.02380952381,0.1666666667,0,84,Google,0,8,0,0,0,1,0,TRUE,komistplay-i27ca6ba3e32c55c,Bidalgo - Facebook,Bidalgo Facebook,,
id140235,8.0.0,HUAWEI_PRA-LX1,FI,0,1995,0,23,0,1,1,0,0.1219512195,0,41,HUAWEI,0,8,0,0,0,1,0,FALSE,578274137794105583,Facebook,Play Games Earn Money,,
id110986,6,Alco_CT9223W97,US,1,1996,0,22,0,2,2,0.01459854015,0.3138686131,0,137,Alco,0,6,0,0,1,0,0,FALSE,komistplay-i27ca6ba3e32c55c,Bidalgo - Facebook,Bidalgo Facebook,,
id139976,8.0.0,samsung_SAMSUNG-SM-G935A,US,0,1978,0,40,0,0,2,0.0253164557,0.01898734177,0,158,samsung,0,8,0,0,0,1,0,TRUE,NA,NA,NA,,
id37274,8.0.0,samsung_SM-G930VL,US,1,1957,0,61,0,6,0,0.02083333333,0.375,0,48,samsung,0,8,0,0,1,1,0,TRUE,komistplay-i273dcf86faab892,Facebook,Campaign 2018-10-05 12:10:35:839,,
id47373,8.0.0,samsung_SM-N950F,GB,1,1989,0,29,0,0,0,0.009433962264,0,0,106,samsung,0,8,0,0,1,1,0,TRUE,komistplay-i27ca6ba3e32c55c,Bidalgo - Facebook,Bidalgo Facebook,,
id50793,9,Essential Products_PH-1,SG,0,2000,0,18,0,1,0,0.03614457831,0.1445783133,0,83,Essential Products,1,9,0,0,0,1,0,FALSE,574248866862758629,Facebook,Amazon,,
id7091,5.0.1,Tianshi Digi-Land_NS-P16AT08,US,1,1974,0,44,0,2,0,0.08510638298,0.4680851064,0,47,Tianshi Digi-Land,1,5,0,0,1,0,0,FALSE,komistplay-i27ca6ba3e32c55c,Bidalgo - Facebook,Bidalgo Facebook,,
id64285,7.1.1,UNIFONE_TW801,US,1,1990,0,28,0,0,1,0.02173913043,0.04347826087,1,46,UNIFONE,1,7,1,0,1,0,0,FALSE,komistplay-i27723873cd8ad2c,UnityAds - Android,Unity,,
id42550,8.0.0,samsung_SM-G950U,US,0,1995,0,23,0,9,2,0.03333333333,0.35,0,120,samsung,0,8,0,0,0,1,0,TRUE,NA,NA,NA,,
id116263,8.0.0,samsung_SM-G950F,SG,1,1996,0,22,0,6,1,0.0625,0.1517857143,0,112,samsung,0,8,0,0,1,1,0,TRUE,NA,NA,NA,,
id28528,7.1.1,ZTE_Z557BL,US,0,1965,0,53,0,2,0,0.06666666667,0.1733333333,0,75,ZTE,0,7,0,0,0,0,0,FALSE,568852751883344651,Facebook,Amazon,,
id84856,8.0.0,samsung_SM-G930V,US,1,1956,0,62,0,1,0,0,0.04166666667,0,48,samsung,0,8,0,0,1,1,0,TRUE,NA,NA,NA,,
id125200,8.0.0,samsung_SM-G930VL,US,1,1991,0,27,0,0,0,0.01960784314,0.07843137255,0,51,samsung,0,8,0,0,1,1,0,TRUE,611565758019158307,n-5-txCYO,NA,,
id117518,6.0.1,samsung_SM-G900V,US,0,1974,0,44,0,1,0,0,0.03389830508,0,59,samsung,0,6,0,0,0,0,0,FALSE,komistplay-i27ca6ba3e32c55c,Bidalgo - Facebook,Bidalgo Facebook,,
id135036,7,samsung_SM-G955U,US,1,1998,0,20,0,0,0,0.08860759494,0.1265822785,0,158,samsung,0,7,0,0,1,0,0,TRUE,komistplay-i27ca6ba3e32c55c,Bidalgo - Facebook,Bidalgo Facebook,,
id24941,5.1.1,LGE_LGL44VL,US,1,2005,0,13,0,1,0,0,0.3846153846,0,13,LGE,0,5,0,0,1,0,0,FALSE,NA,NA,NA,,
id80416,8.0.0,LGE_LG-G710,US,0,1992,0,26,0,1,2,0.01538461538,0.07692307692,0,65,LGE,0,8,0,0,0,1,0,TRUE,354367916571254368,YouTube,Clash Royale,,
id68477,8.0.0,samsung_SM-A530F,FR,0,1996,0,22,0,3,1,0.03278688525,0.09836065574,0,61,samsung,0,8,0,0,0,1,1,TRUE,komistplay-i277fc4c38ac926c,Bidalgo - Instagram,Default Facebook,,
id136597,7.1.2,LGE_LM-X210CM,US,1,1986,0,32,0,4,1,0,0.3653846154,0,52,LGE,0,7,0,0,1,0,0,FALSE,komistplay-i27ca6ba3e32c55c,Bidalgo - Facebook,Bidalgo Facebook,,
id118967,9,Google_Pixel 2 XL,US,1,1961,0,57,0,2,0,0.08536585366,0.1585365854,0,82,Google,0,9,0,0,1,1,0,TRUE,komistplay-i27bfe4daaba1aa4,Facebook,Facebook,,
id29839,6.0.1,LGE_LG-M153,US,0,1987,0,31,0,1,0,0,0.1,0,30,LGE,0,6,0,0,0,0,0,FALSE,komistplay-i27ca6ba3e32c55c,Bidalgo - Facebook,Bidalgo Facebook,,
id23473,8.1.0,asus_ASUS_X00ID,CA,1,1964,0,54,0,1,1,0.01923076923,0.02564102564,0,156,asus,0,8,0,0,1,1,0,FALSE,komistplay-i27ca6ba3e32c55c,Bidalgo - Facebook,Bidalgo Facebook,,
id110,8.1.0,OnePlus_ONEPLUS A5010,DK,0,1999,0,19,0,2,1,0.03100775194,0.1627906977,0,129,OnePlus,0,8,0,0,0,1,0,TRUE,578274137794105583,Facebook,Play Games Earn Money,,
id67247,8.0.0,samsung_SM-G950F,GB,0,2004,0,14,0,2,0,0,0.3875,0,80,samsung,0,8,0,0,0,1,0,TRUE,573879268229545920,Facebook,Fortnite,,
id134760,8.1.0,LGE_LM-X510WM,CA,0,1996,0,22,0,1,1,0.07317073171,0.2195121951,0,41,LGE,0,8,0,0,0,1,0,FALSE,NA,NA,NA,,
id54729,7.1.1,motorola_Moto E (4),GB,0,1990,0,28,0,1,0,0.1794871795,0.1025641026,0,39,motorola,0,7,0,0,0,0,0,FALSE,komistplay-i27ca6ba3e32c55c,Bidalgo - Facebook,Bidalgo Facebook,,
id30960,7,LGE_LG-TP260,US,0,1996,0,22,0,1,1,0,0.3235294118,0,68,LGE,0,7,0,0,0,0,0,TRUE,586205984360772448,Facebook,Copy Tests,,
id116555,5,Alco_RCT6773W22B,US,1,1996,0,22,0,0,0,0.08333333333,0.04166666667,0,24,Alco,1,5,0,0,1,0,0,FALSE,NA,NA,NA,,
id7214,8.1.0,samsung_SM-J727T1,US,0,2000,0,18,0,1,1,0,0.08888888889,0,45,samsung,0,8,0,0,0,1,0,TRUE,NA,NA,NA,,
id133156,7.1.1,ZTE_Z899VL,US,0,2000,0,18,0,0,0,0,0.0625,0,48,ZTE,0,7,0,0,0,0,0,TRUE,586203577115461946,Facebook,Copy Tests,,
id119240,8.1.0,LGE_LM-X210(G),US,0,1986,0,32,0,1,1,0.025,0.325,0,40,LGE,0,8,0,0,0,1,0,FALSE,NA,NA,NA,,
id107806,5.1,Acer_T03,CA,0,1982,0,36,0,2,0,0.03389830508,0.08474576271,0,177,Acer,0,5,0,0,0,0,0,FALSE,komistplay-i27ca6ba3e32c55c,Bidalgo - Facebook,Bidalgo Facebook,,
id108062,8.1.0,samsung_SM-J327VPP,US,0,1976,0,42,0,2,1,0.07317073171,0.0243902439,0,41,samsung,0,8,0,0,0,1,0,TRUE,621467698215754300,lDa3vMGsL,NA,,
id62207,8.0.0,HUAWEI_VTR-L09,NZ,1,1995,0,23,0,3,1,0.07843137255,0.1960784314,0,51,HUAWEI,0,8,0,0,1,1,0,TRUE,komistplay-i27bfe4daaba1aa4,Facebook,Facebook,,
id78611,5.1.1,TCL_5017B,US,0,1999,0,19,0,2,0,0,0.08163265306,0,49,TCL,0,5,0,0,0,0,0,FALSE,586205984360772448,Facebook,Copy Tests,,
id4119,7,LGE_LGMS210,US,0,1986,0,32,0,0,0,0,0.06451612903,0,31,LGE,0,7,0,0,0,0,0,FALSE,komistplay-i277fc4c38ac926c,Bidalgo - Instagram,Default Facebook,,
id69292,7,LGE_LGMP260,US,1,1970,0,48,0,0,0,0.04081632653,0.08163265306,0,49,LGE,0,7,0,0,1,0,0,TRUE,komistplay-i27b933628b86be4,UnityAds - Android,Unity,,
id124773,5.1.1,OPPO_A37f,AU,0,1975,0,43,0,1,1,0,0.03378378378,0,148,OPPO,0,5,0,0,0,0,0,FALSE,573880939902959083,Facebook,Fortnite,,
